id_servicio,titulo,descripcion,habilidades_requeridas,fecha_publicacion,estado
19,Programador Python,"Se busca profesional con experiencia en atención al cliente, javascript, marketing digital.","Atención al cliente, JavaScript, Marketing digital",2025-03-30,Abierto
20,Editor de video,"Se requiere conocimiento en traducción, html, illustrator, marketing digital.","Traducción, HTML, Illustrator, Marketing digital",2024-11-14,Cerrado
21,Editor de video,"Se requiere conocimiento en administración, electricidad, tramitología.","Administración, Electricidad, Tramitología",2025-04-16,Cerrado
22,Diseñador industrial,"Colaboración independiente para tareas de programación en java, tramitología.","Programación en Java, Tramitología",2025-04-11,Abierto
23,Enfermero auxiliar,"Se requiere conocimiento en terapia física, carpintería, redacción, instalaciones eléctricas.","Terapia Física, Carpintería, Redacción, Instalaciones eléctricas",2025-03-12,Abierto
24,Traductor,"Trabajo temporal relacionado con photoshop, electricidad.","Photoshop, Electricidad",2025-02-28,Abierto
25,Técnico en soporte,"Se requiere conocimiento en servicio al cliente, diseño gráfico, seo, electricidad.","Servicio al cliente, Diseño gráfico, SEO, Electricidad",2025-01-17,Cerrado
26,Cocinero,"Se busca profesional con experiencia en mecánica automotriz, python, diseño gráfico, contabilidad.","Mecánica automotriz, Python, Diseño gráfico, Contabilidad",2025-02-15,Cerrado
27,Redactor de contenido,"Colaboración independiente para tareas de ciencia de datos, css, traducción.","Ciencia de datos, CSS, Traducción",2024-12-13,Cerrado
28,Traductor,"Colaboración independiente para tareas de illustrator, html.","Illustrator, HTML",2024-12-27,Abierto
29,Barista,"Se busca profesional con experiencia en servicio al cliente, inglés avanzado, tramitología, diseño ux/ui.","Servicio al cliente, Inglés avanzado, Tramitología, Diseño UX/UI",2025-04-01,Cerrado
30,Redactor de contenido,"Se requiere conocimiento en marketing digital, servicio al cliente, seo.","Marketing digital, Servicio al cliente, SEO",2024-12-22,Cerrado
31,Enfermero auxiliar,"Se requiere conocimiento en diseño ux/ui, electricidad, seo, ciencia de datos.","Diseño UX/UI, Electricidad, SEO, Ciencia de datos",2025-04-01,Abierto
32,Enfermero auxiliar,"Trabajo temporal relacionado con traducción, ventas, servicio al cliente.","Traducción, Ventas, Servicio al cliente",2025-04-03,Cerrado
33,Vendedor telefónico,"Importante empresa solicita apoyo en el área de diseño gráfico, html, terapia física.","Diseño gráfico, HTML, Terapia Física",2025-01-17,Cerrado
34,Diseñador industrial,"Importante empresa solicita apoyo en el área de ciencia de datos, soporte técnico, seo.","Ciencia de datos, Soporte técnico, SEO",2024-11-04,Cerrado
35,Vendedor telefónico,"Se requiere conocimiento en javascript, redacción.","JavaScript, Redacción",2025-01-22,Cerrado
36,Profesor de inglés,"Trabajo temporal relacionado con photoshop, illustrator, mecánica automotriz.","Photoshop, Illustrator, Mecánica automotriz",2025-01-30,Cerrado
37,Auxiliar contable,"Trabajo temporal relacionado con soporte técnico, contabilidad, css.","Soporte técnico, Contabilidad, CSS",2024-12-02,Cerrado
38,Especialista en SEO,"Trabajo temporal relacionado con marketing digital, instalaciones eléctricas.","Marketing digital, Instalaciones eléctricas",2025-02-16,Abierto
39,Asistente administrativo,"Trabajo temporal relacionado con tramitología, redacción.","Tramitología, Redacción",2025-01-05,Abierto
40,Técnico en soporte,"Se busca profesional con experiencia en javascript, redacción, programación en java.","JavaScript, Redacción, Programación en Java",2025-03-14,Abierto
41,Community manager,"Trabajo temporal relacionado con mecánica automotriz, programación en java, instalaciones eléctricas, contabilidad.","Mecánica automotriz, Programación en Java, Instalaciones eléctricas, Contabilidad",2025-03-30,Abierto
42,Instalador eléctrico,"Se requiere conocimiento en tramitología, ciencia de datos.","Tramitología, Ciencia de datos",2024-10-30,Cerrado
43,Diseñador industrial,"Colaboración independiente para tareas de diseño ux/ui, marketing digital.","Diseño UX/UI, Marketing digital",2024-12-14,Abierto
44,Repartidor,"Colaboración independiente para tareas de atención al cliente, redacción, photoshop, instalaciones eléctricas.","Atención al cliente, Redacción, Photoshop, Instalaciones eléctricas",2024-11-02,Cerrado
45,Diseñador gráfico,"Se busca profesional con experiencia en illustrator, css, ciencia de datos.","Illustrator, CSS, Ciencia de datos",2025-01-20,Abierto
46,Técnico en soporte,"Importante empresa solicita apoyo en el área de redacción, atención al cliente.","Redacción, Atención al cliente",2025-03-19,Cerrado
47,Instalador eléctrico,"Importante empresa solicita apoyo en el área de mecánica automotriz, contabilidad, ventas.","Mecánica automotriz, Contabilidad, Ventas",2025-02-02,Abierto
48,Desarrollador web,"Colaboración independiente para tareas de diseño gráfico, carpintería.","Diseño gráfico, Carpintería",2025-01-21,Abierto
49,Fotógrafo,"Importante empresa solicita apoyo en el área de ventas, atención al cliente, contabilidad.","Ventas, Atención al cliente, Contabilidad",2024-12-20,Cerrado
50,Profesor de inglés,"Se requiere conocimiento en instalaciones eléctricas, illustrator, atención al cliente, seo.","Instalaciones eléctricas, Illustrator, Atención al cliente, SEO",2025-02-19,Abierto
51,Asistente administrativo,"Trabajo temporal relacionado con diseño gráfico, illustrator.","Diseño gráfico, Illustrator",2024-10-30,Cerrado
52,Traductor,"Importante empresa solicita apoyo en el área de programación en java, css, inglés avanzado.","Programación en Java, CSS, Inglés avanzado",2025-03-29,Cerrado
53,Community manager,"Se requiere conocimiento en diseño gráfico, ventas.","Diseño gráfico, Ventas",2024-11-11,Cerrado
54,Psicólogo educativo,"Importante empresa solicita apoyo en el área de diseño gráfico, ciencia de datos, ventas.","Diseño gráfico, Ciencia de datos, Ventas",2024-12-28,Cerrado
55,Enfermero auxiliar,"Colaboración independiente para tareas de photoshop, tramitología, administración.","Photoshop, Tramitología, Administración",2024-12-06,Cerrado
56,Diseñador UX/UI,"Importante empresa solicita apoyo en el área de redacción, css, seo, inglés avanzado.","Redacción, CSS, SEO, Inglés avanzado",2025-04-08,Cerrado
57,Asistente administrativo,"Se requiere conocimiento en electricidad, ciencia de datos.","Electricidad, Ciencia de datos",2024-12-10,Abierto
58,Diseñador gráfico,"Trabajo temporal relacionado con ciencia de datos, inglés avanzado.","Ciencia de datos, Inglés avanzado",2025-04-05,Abierto
59,Auxiliar contable,"Importante empresa solicita apoyo en el área de mecánica automotriz, electricidad.","Mecánica automotriz, Electricidad",2025-01-27,Abierto
60,Maestro de matemáticas,"Se busca profesional con experiencia en inglés avanzado, soporte técnico, instalaciones eléctricas, atención al cliente.","Inglés avanzado, Soporte técnico, Instalaciones eléctricas, Atención al cliente",2025-03-26,Cerrado
61,Fotógrafo,"Se requiere conocimiento en diseño ux/ui, javascript.","Diseño UX/UI, JavaScript",2025-03-02,Cerrado
62,Programador Python,"Se requiere conocimiento en python, inglés avanzado, terapia física, programación en java.","Python, Inglés avanzado, Terapia Física, Programación en Java",2025-02-03,Cerrado
63,Desarrollador web,"Se requiere conocimiento en marketing digital, soporte técnico.","Marketing digital, Soporte técnico",2024-12-09,Cerrado
64,Fotógrafo,"Se busca profesional con experiencia en ciencia de datos, python, marketing digital.","Ciencia de datos, Python, Marketing digital",2024-11-24,Cerrado
65,Terapista físico,"Colaboración independiente para tareas de python, soporte técnico, diseño ux/ui.","Python, Soporte técnico, Diseño UX/UI",2025-03-15,Abierto
66,Terapista físico,"Se busca profesional con experiencia en tramitología, contabilidad, inglés avanzado, ventas.","Tramitología, Contabilidad, Inglés avanzado, Ventas",2025-01-17,Cerrado
67,Diseñador industrial,"Trabajo temporal relacionado con diseño ux/ui, terapia física, administración.","Diseño UX/UI, Terapia Física, Administración",2024-11-20,Abierto
68,Traductor,"Se requiere conocimiento en redacción, administración.","Redacción, Administración",2025-04-03,Cerrado
69,Vendedor telefónico,"Se busca profesional con experiencia en css, inglés avanzado, python, marketing digital.","CSS, Inglés avanzado, Python, Marketing digital",2024-11-07,Cerrado
70,Electricista,"Importante empresa solicita apoyo en el área de terapia física, illustrator, redacción, servicio al cliente.","Terapia Física, Illustrator, Redacción, Servicio al cliente",2025-01-17,Cerrado
71,Electricista,"Se requiere conocimiento en traducción, terapia física.","Traducción, Terapia Física",2024-12-19,Cerrado
72,Psicólogo educativo,"Colaboración independiente para tareas de traducción, instalaciones eléctricas, inglés avanzado, contabilidad.","Traducción, Instalaciones eléctricas, Inglés avanzado, Contabilidad",2025-03-17,Cerrado
73,Barista,"Se busca profesional con experiencia en inglés avanzado, traducción, python.","Inglés avanzado, Traducción, Python",2024-12-24,Cerrado
74,Especialista en SEO,"Se busca profesional con experiencia en programación en java, traducción, illustrator, diseño ux/ui.","Programación en Java, Traducción, Illustrator, Diseño UX/UI",2024-12-04,Abierto
75,Vendedor telefónico,"Se requiere conocimiento en programación en java, seo, terapia física.","Programación en Java, SEO, Terapia Física",2025-03-15,Cerrado
76,Vendedor telefónico,"Se busca profesional con experiencia en marketing digital, diseño ux/ui.","Marketing digital, Diseño UX/UI",2025-01-11,Cerrado
77,Profesor de inglés,"Se busca profesional con experiencia en tramitología, redacción, diseño gráfico.","Tramitología, Redacción, Diseño gráfico",2025-01-13,Cerrado
78,Mecánico automotriz,"Importante empresa solicita apoyo en el área de soporte técnico, atención al cliente.","Soporte técnico, Atención al cliente",2024-11-19,Cerrado
79,Desarrollador web,"Importante empresa solicita apoyo en el área de seo, python, diseño ux/ui.","SEO, Python, Diseño UX/UI",2025-01-13,Cerrado
80,Asistente administrativo,"Trabajo temporal relacionado con tramitología, ciencia de datos.","Tramitología, Ciencia de datos",2025-02-17,Abierto
81,Programador Python,"Se busca profesional con experiencia en mecánica automotriz, carpintería, inglés avanzado, python.","Mecánica automotriz, Carpintería, Inglés avanzado, Python",2025-01-27,Cerrado
82,Instalador eléctrico,"Colaboración independiente para tareas de javascript, contabilidad.","JavaScript, Contabilidad",2025-01-22,Abierto
83,Cocinero,"Trabajo temporal relacionado con seo, ciencia de datos, photoshop.","SEO, Ciencia de datos, Photoshop",2024-11-17,Abierto
84,Community manager,"Trabajo temporal relacionado con ventas, electricidad, python.","Ventas, Electricidad, Python",2025-01-15,Cerrado
85,Desarrollador web,"Se requiere conocimiento en diseño gráfico, carpintería, terapia física.","Diseño gráfico, Carpintería, Terapia Física",2024-12-27,Cerrado
86,Fotógrafo,"Colaboración independiente para tareas de electricidad, diseño gráfico.","Electricidad, Diseño gráfico",2025-03-17,Abierto
87,Psicólogo educativo,"Se requiere conocimiento en programación en java, seo, photoshop, diseño gráfico.","Programación en Java, SEO, Photoshop, Diseño gráfico",2025-03-22,Cerrado
88,Mecánico automotriz,"Se requiere conocimiento en ciencia de datos, javascript, marketing digital.","Ciencia de datos, JavaScript, Marketing digital",2025-01-31,Cerrado
89,Fotógrafo,"Importante empresa solicita apoyo en el área de programación en java, diseño gráfico, javascript, instalaciones eléctricas.","Programación en Java, Diseño gráfico, JavaScript, Instalaciones eléctricas",2025-03-17,Cerrado
90,Repartidor,"Trabajo temporal relacionado con javascript, servicio al cliente, tramitología, illustrator.","JavaScript, Servicio al cliente, Tramitología, Illustrator",2024-11-05,Abierto
91,Especialista en SEO,"Colaboración independiente para tareas de programación en java, mecánica automotriz.","Programación en Java, Mecánica automotriz",2025-01-28,Cerrado
92,Community manager,"Se busca profesional con experiencia en python, atención al cliente, instalaciones eléctricas.","Python, Atención al cliente, Instalaciones eléctricas",2025-03-29,Cerrado
93,Desarrollador web,"Importante empresa solicita apoyo en el área de atención al cliente, ciencia de datos.","Atención al cliente, Ciencia de datos",2025-03-06,Abierto
94,Community manager,"Trabajo temporal relacionado con carpintería, redacción, seo, mecánica automotriz.","Carpintería, Redacción, SEO, Mecánica automotriz",2025-03-12,Cerrado
95,Fotógrafo,"Se busca profesional con experiencia en carpintería, contabilidad.","Carpintería, Contabilidad",2025-03-21,Cerrado
96,Cocinero,"Trabajo temporal relacionado con electricidad, traducción, contabilidad.","Electricidad, Traducción, Contabilidad",2024-11-14,Abierto
97,Psicólogo educativo,"Se requiere conocimiento en atención al cliente, contabilidad, inglés avanzado, marketing digital.","Atención al cliente, Contabilidad, Inglés avanzado, Marketing digital",2025-04-24,Cerrado
98,Community manager,"Se busca profesional con experiencia en redacción, python.","Redacción, Python",2025-03-11,Cerrado
99,Vendedor telefónico,"Se requiere conocimiento en ventas, python, diseño gráfico, illustrator.","Ventas, Python, Diseño gráfico, Illustrator",2024-10-30,Cerrado
100,Maestro de matemáticas,"Se busca profesional con experiencia en ventas, diseño ux/ui, programación en java, tramitología.","Ventas, Diseño UX/UI, Programación en Java, Tramitología",2025-02-28,Abierto
101,Diseñador gráfico,"Importante empresa solicita apoyo en el área de contabilidad, redacción, marketing digital, python.","Contabilidad, Redacción, Marketing digital, Python",2024-12-01,Abierto
102,Asistente administrativo,"Importante empresa solicita apoyo en el área de photoshop, mecánica automotriz, ventas, redacción.","Photoshop, Mecánica automotriz, Ventas, Redacción",2025-02-01,Cerrado
103,Programador Python,"Se busca profesional con experiencia en marketing digital, ventas, soporte técnico.","Marketing digital, Ventas, Soporte técnico",2024-10-31,Abierto
104,Programador Python,"Colaboración independiente para tareas de administración, servicio al cliente, ventas.","Administración, Servicio al cliente, Ventas",2024-11-14,Abierto
105,Maestro de matemáticas,"Se requiere conocimiento en seo, contabilidad, instalaciones eléctricas.","SEO, Contabilidad, Instalaciones eléctricas",2025-01-14,Abierto
106,Redactor de contenido,"Trabajo temporal relacionado con programación en java, soporte técnico.","Programación en Java, Soporte técnico",2025-01-02,Abierto
107,Cocinero,"Se busca profesional con experiencia en diseño gráfico, atención al cliente, electricidad.","Diseño gráfico, Atención al cliente, Electricidad",2024-12-13,Abierto
108,Enfermero auxiliar,"Importante empresa solicita apoyo en el área de javascript, mecánica automotriz.","JavaScript, Mecánica automotriz",2024-11-27,Abierto
109,Enfermero auxiliar,"Colaboración independiente para tareas de photoshop, traducción, diseño ux/ui.","Photoshop, Traducción, Diseño UX/UI",2025-01-10,Abierto
110,Asistente administrativo,"Se requiere conocimiento en marketing digital, atención al cliente.","Marketing digital, Atención al cliente",2025-04-22,Abierto
111,Editor de video,"Colaboración independiente para tareas de inglés avanzado, carpintería, tramitología, redacción.","Inglés avanzado, Carpintería, Tramitología, Redacción",2025-01-01,Abierto
112,Terapista físico,"Colaboración independiente para tareas de ventas, html, ciencia de datos.","Ventas, HTML, Ciencia de datos",2025-02-20,Cerrado
113,Vendedor telefónico,"Se requiere conocimiento en tramitología, python, carpintería.","Tramitología, Python, Carpintería",2025-01-31,Abierto
114,Programador Python,"Se busca profesional con experiencia en diseño gráfico, illustrator.","Diseño gráfico, Illustrator",2025-03-05,Cerrado
115,Electricista,"Trabajo temporal relacionado con programación en java, contabilidad.","Programación en Java, Contabilidad",2025-01-29,Abierto
116,Mecánico automotriz,"Se busca profesional con experiencia en ventas, administración, mecánica automotriz.","Ventas, Administración, Mecánica automotriz",2025-02-19,Cerrado
117,Fotógrafo,"Trabajo temporal relacionado con atención al cliente, css.","Atención al cliente, CSS",2025-01-01,Cerrado
118,Community manager,"Trabajo temporal relacionado con terapia física, html, traducción, instalaciones eléctricas.","Terapia Física, HTML, Traducción, Instalaciones eléctricas",2024-11-04,Abierto
119,Desarrollador web,"Trabajo temporal relacionado con carpintería, contabilidad.","Carpintería, Contabilidad",2025-03-20,Abierto
120,Asistente administrativo,"Trabajo temporal relacionado con inglés avanzado, servicio al cliente.","Inglés avanzado, Servicio al cliente",2025-01-21,Cerrado
121,Diseñador gráfico,"Se requiere conocimiento en mecánica automotriz, atención al cliente, carpintería, diseño gráfico.","Mecánica automotriz, Atención al cliente, Carpintería, Diseño gráfico",2024-12-28,Cerrado
122,Repartidor,"Se busca profesional con experiencia en illustrator, tramitología, soporte técnico, marketing digital.","Illustrator, Tramitología, Soporte técnico, Marketing digital",2025-01-30,Cerrado
123,Editor de video,"Trabajo temporal relacionado con tramitología, electricidad, photoshop, ciencia de datos.","Tramitología, Electricidad, Photoshop, Ciencia de datos",2024-12-25,Abierto
124,Fotógrafo,"Trabajo temporal relacionado con soporte técnico, tramitología.","Soporte técnico, Tramitología",2025-03-30,Cerrado
125,Community manager,"Importante empresa solicita apoyo en el área de electricidad, illustrator, inglés avanzado.","Electricidad, Illustrator, Inglés avanzado",2025-04-06,Cerrado
126,Redactor de contenido,"Se requiere conocimiento en python, marketing digital, illustrator, administración.","Python, Marketing digital, Illustrator, Administración",2024-12-16,Abierto
127,Programador Python,"Importante empresa solicita apoyo en el área de diseño gráfico, marketing digital, diseño ux/ui.","Diseño gráfico, Marketing digital, Diseño UX/UI",2025-02-10,Abierto
128,Editor de video,"Se requiere conocimiento en css, servicio al cliente, javascript, electricidad.","CSS, Servicio al cliente, JavaScript, Electricidad",2025-04-07,Cerrado
129,Programador Python,"Colaboración independiente para tareas de servicio al cliente, ventas, diseño ux/ui.","Servicio al cliente, Ventas, Diseño UX/UI",2025-01-16,Cerrado
130,Maestro de matemáticas,"Colaboración independiente para tareas de css, redacción, programación en java, photoshop.","CSS, Redacción, Programación en Java, Photoshop",2024-11-14,Abierto
131,Terapista físico,"Colaboración independiente para tareas de ventas, soporte técnico.","Ventas, Soporte técnico",2024-12-22,Abierto
132,Terapista físico,"Colaboración independiente para tareas de carpintería, instalaciones eléctricas.","Carpintería, Instalaciones eléctricas",2025-03-20,Abierto
133,Asistente administrativo,"Colaboración independiente para tareas de administración, instalaciones eléctricas, python, soporte técnico.","Administración, Instalaciones eléctricas, Python, Soporte técnico",2025-02-20,Abierto
134,Diseñador gráfico,"Importante empresa solicita apoyo en el área de inglés avanzado, html, photoshop, seo.","Inglés avanzado, HTML, Photoshop, SEO",2025-04-07,Abierto
135,Repartidor,"Se requiere conocimiento en javascript, contabilidad.","JavaScript, Contabilidad",2025-04-23,Abierto
136,Cocinero,"Se requiere conocimiento en html, carpintería.","HTML, Carpintería",2025-03-10,Abierto
137,Especialista en SEO,"Importante empresa solicita apoyo en el área de html, illustrator, marketing digital.","HTML, Illustrator, Marketing digital",2025-02-05,Cerrado
138,Diseñador gráfico,"Se busca profesional con experiencia en mecánica automotriz, javascript.","Mecánica automotriz, JavaScript",2024-10-30,Abierto
139,Instalador eléctrico,"Se requiere conocimiento en carpintería, seo.","Carpintería, SEO",2025-04-16,Abierto
140,Editor de video,"Colaboración independiente para tareas de electricidad, soporte técnico, carpintería, programación en java.","Electricidad, Soporte técnico, Carpintería, Programación en Java",2025-01-26,Abierto
141,Repartidor,"Se busca profesional con experiencia en javascript, diseño ux/ui.","JavaScript, Diseño UX/UI",2025-02-12,Abierto
142,Maestro de matemáticas,"Se requiere conocimiento en ventas, diseño ux/ui, redacción.","Ventas, Diseño UX/UI, Redacción",2024-11-28,Abierto
143,Electricista,"Se requiere conocimiento en diseño ux/ui, html, marketing digital, ventas.","Diseño UX/UI, HTML, Marketing digital, Ventas",2024-11-04,Cerrado
144,Técnico en soporte,"Se busca profesional con experiencia en ventas, css, html.","Ventas, CSS, HTML",2024-11-30,Abierto
145,Barista,"Colaboración independiente para tareas de traducción, css, photoshop.","Traducción, CSS, Photoshop",2025-02-15,Abierto
146,Técnico en soporte,"Trabajo temporal relacionado con instalaciones eléctricas, tramitología.","Instalaciones eléctricas, Tramitología",2025-02-21,Cerrado
147,Diseñador industrial,"Se requiere conocimiento en traducción, inglés avanzado, ventas, mecánica automotriz.","Traducción, Inglés avanzado, Ventas, Mecánica automotriz",2025-03-04,Cerrado
148,Community manager,"Se busca profesional con experiencia en carpintería, programación en java, illustrator, diseño gráfico.","Carpintería, Programación en Java, Illustrator, Diseño gráfico",2025-03-04,Abierto
149,Programador Python,"Se busca profesional con experiencia en photoshop, html, javascript, programación en java.","Photoshop, HTML, JavaScript, Programación en Java",2025-02-13,Abierto
150,Repartidor,"Se requiere conocimiento en soporte técnico, electricidad, photoshop.","Soporte técnico, Electricidad, Photoshop",2025-04-09,Abierto
151,Editor de video,"Colaboración independiente para tareas de administración, programación en java.","Administración, Programación en Java",2024-12-31,Abierto
152,Técnico en soporte,"Importante empresa solicita apoyo en el área de contabilidad, electricidad, ventas.","Contabilidad, Electricidad, Ventas",2025-04-01,Cerrado
153,Editor de video,"Importante empresa solicita apoyo en el área de html, javascript, traducción.","HTML, JavaScript, Traducción",2025-04-19,Cerrado
154,Editor de video,"Se busca profesional con experiencia en administración, carpintería, seo, terapia física.","Administración, Carpintería, SEO, Terapia Física",2025-02-08,Cerrado
155,Especialista en SEO,"Se requiere conocimiento en marketing digital, ciencia de datos.","Marketing digital, Ciencia de datos",2025-02-05,Cerrado
156,Terapista físico,"Se requiere conocimiento en html, carpintería.","HTML, Carpintería",2024-12-14,Cerrado
157,Auxiliar contable,"Importante empresa solicita apoyo en el área de mecánica automotriz, html, python, redacción.","Mecánica automotriz, HTML, Python, Redacción",2025-03-13,Cerrado
158,Community manager,"Colaboración independiente para tareas de electricidad, instalaciones eléctricas, atención al cliente.","Electricidad, Instalaciones eléctricas, Atención al cliente",2025-02-01,Cerrado
159,Profesor de inglés,"Colaboración independiente para tareas de administración, ventas, css.","Administración, Ventas, CSS",2025-01-02,Abierto
160,Redactor de contenido,"Se requiere conocimiento en photoshop, diseño gráfico, seo, diseño ux/ui.","Photoshop, Diseño gráfico, SEO, Diseño UX/UI",2024-11-11,Cerrado
161,Diseñador UX/UI,"Se busca profesional con experiencia en ciencia de datos, tramitología, diseño gráfico.","Ciencia de datos, Tramitología, Diseño gráfico",2025-03-28,Abierto
162,Barista,"Trabajo temporal relacionado con mecánica automotriz, terapia física.","Mecánica automotriz, Terapia Física",2024-11-10,Cerrado
163,Instalador eléctrico,"Colaboración independiente para tareas de terapia física, traducción, diseño gráfico.","Terapia Física, Traducción, Diseño gráfico",2025-02-27,Cerrado
164,Enfermero auxiliar,"Se busca profesional con experiencia en contabilidad, administración.","Contabilidad, Administración",2025-01-26,Abierto
165,Mecánico automotriz,"Trabajo temporal relacionado con mecánica automotriz, marketing digital, seo, traducción.","Mecánica automotriz, Marketing digital, SEO, Traducción",2025-01-02,Abierto
166,Enfermero auxiliar,"Trabajo temporal relacionado con instalaciones eléctricas, redacción.","Instalaciones eléctricas, Redacción",2024-12-17,Cerrado
167,Mecánico automotriz,"Importante empresa solicita apoyo en el área de illustrator, carpintería.","Illustrator, Carpintería",2025-03-04,Cerrado
168,Traductor,"Trabajo temporal relacionado con ciencia de datos, tramitología, javascript.","Ciencia de datos, Tramitología, JavaScript",2024-11-25,Cerrado
169,Terapista físico,"Se requiere conocimiento en illustrator, redacción, carpintería.","Illustrator, Redacción, Carpintería",2025-01-18,Cerrado
170,Terapista físico,"Colaboración independiente para tareas de javascript, seo.","JavaScript, SEO",2025-02-21,Cerrado
171,Traductor,"Importante empresa solicita apoyo en el área de diseño gráfico, marketing digital, atención al cliente, carpintería.","Diseño gráfico, Marketing digital, Atención al cliente, Carpintería",2025-01-18,Cerrado
172,Profesor de inglés,"Importante empresa solicita apoyo en el área de python, illustrator, administración, seo.","Python, Illustrator, Administración, SEO",2025-01-30,Cerrado
173,Cocinero,"Importante empresa solicita apoyo en el área de contabilidad, diseño gráfico.","Contabilidad, Diseño gráfico",2024-11-09,Abierto
174,Fotógrafo,"Trabajo temporal relacionado con electricidad, mecánica automotriz, illustrator, marketing digital.","Electricidad, Mecánica automotriz, Illustrator, Marketing digital",2025-03-09,Abierto
175,Psicólogo educativo,"Trabajo temporal relacionado con css, servicio al cliente, soporte técnico.","CSS, Servicio al cliente, Soporte técnico",2025-02-17,Abierto
176,Fotógrafo,"Importante empresa solicita apoyo en el área de illustrator, mecánica automotriz.","Illustrator, Mecánica automotriz",2024-12-09,Abierto
177,Diseñador industrial,"Se busca profesional con experiencia en atención al cliente, electricidad.","Atención al cliente, Electricidad",2025-04-21,Cerrado
178,Redactor de contenido,"Se requiere conocimiento en css, contabilidad, python, javascript.","CSS, Contabilidad, Python, JavaScript",2024-12-22,Cerrado
179,Psicólogo educativo,"Se requiere conocimiento en photoshop, css, traducción, diseño gráfico.","Photoshop, CSS, Traducción, Diseño gráfico",2025-04-24,Cerrado
180,Barista,"Se busca profesional con experiencia en html, carpintería, terapia física.","HTML, Carpintería, Terapia Física",2025-03-20,Abierto
181,Fotógrafo,"Importante empresa solicita apoyo en el área de illustrator, photoshop, seo.","Illustrator, Photoshop, SEO",2025-01-29,Cerrado
182,Barista,"Colaboración independiente para tareas de diseño ux/ui, carpintería, marketing digital.","Diseño UX/UI, Carpintería, Marketing digital",2025-02-14,Cerrado
183,Redactor de contenido,"Trabajo temporal relacionado con terapia física, atención al cliente, ciencia de datos, python.","Terapia Física, Atención al cliente, Ciencia de datos, Python",2025-03-05,Cerrado
184,Diseñador industrial,"Se busca profesional con experiencia en mecánica automotriz, python.","Mecánica automotriz, Python",2025-03-07,Cerrado
185,Profesor de inglés,"Se requiere conocimiento en mecánica automotriz, instalaciones eléctricas, soporte técnico.","Mecánica automotriz, Instalaciones eléctricas, Soporte técnico",2024-12-01,Abierto
