id_contratacion,id_servicio,id_trabajador,fecha_contratacion,estado_contratacion
95,1410,161,2025-03-08,Finalizado
96,3928,9357,2025-02-24,Finalizado
97,1247,6738,2025-02-11,Activo
98,7867,2399,2025-03-21,Finalizado
99,6105,9545,2025-01-09,Finalizado
100,1563,909,2025-03-04,Activo
101,9216,8721,2025-04-09,Activo
102,711,7419,2025-03-18,Cancelado
103,970,9036,2025-03-15,Activo
104,5768,3463,2025-02-05,Activo
105,3936,1656,2025-01-13,Activo
106,4067,7996,2025-01-03,Activo
107,3557,3517,2025-02-02,Finalizado
108,8550,4964,2025-04-03,Cancelado
109,1394,879,2025-01-02,Activo
110,6393,1629,2025-01-06,Activo
111,9033,9057,2025-01-15,Finalizado
112,7604,5222,2025-01-16,Cancelado
113,8500,5465,2025-04-11,Activo
114,2234,2917,2025-03-28,Activo
115,8945,3323,2025-02-11,Cancelado
116,5486,1790,2025-01-18,Activo
117,911,9038,2025-04-12,Activo
118,5370,3681,2025-03-18,Activo
119,3095,3517,2025-02-08,Cancelado
120,1704,4633,2024-12-26,Activo
121,783,3788,2024-12-27,Finalizado
122,989,4114,2025-02-28,Activo
123,2647,6443,2025-01-31,Activo
124,9449,5561,2025-04-09,Cancelado
125,3738,4298,2025-03-02,Cancelado
126,8589,1526,2025-02-16,Activo
127,839,9401,2025-04-21,Finalizado
128,4391,3361,2025-01-16,Cancelado
129,5361,6561,2025-04-02,Finalizado
130,7918,597,2025-02-15,Finalizado
131,2897,1052,2025-04-10,Cancelado
132,5188,8916,2025-02-17,Activo
133,563,9273,2025-03-18,Finalizado
134,1025,3912,2025-04-14,Finalizado
135,314,8304,2025-02-01,Cancelado
136,9318,5448,2025-03-07,Activo
137,6859,5351,2025-04-04,Cancelado
138,4568,2905,2025-02-02,Finalizado
139,2174,6386,2025-02-13,Finalizado
140,8998,4512,2025-01-02,Activo
141,6717,5154,2025-03-28,Finalizado
142,3416,4111,2025-03-09,Finalizado
143,9897,5499,2025-01-24,Cancelado
144,4876,8904,2025-01-04,Finalizado
145,1572,7686,2025-01-04,Finalizado
146,3118,8021,2025-01-26,Activo
147,4690,215,2025-02-12,Activo
148,3288,4631,2025-03-12,Cancelado
149,2688,8760,2025-03-25,Cancelado
150,4606,1674,2025-03-29,Cancelado
151,3441,7046,2025-03-28,Cancelado
152,4612,4957,2025-03-25,Activo
153,8517,3993,2025-04-07,Finalizado
154,8297,994,2025-04-16,Activo
155,4965,5261,2025-01-19,Activo
156,4086,7279,2025-04-04,Activo
157,192,294,2025-02-20,Finalizado
158,6493,9647,2025-04-19,Finalizado
159,1578,6841,2025-03-29,Activo
160,4104,4567,2025-03-17,Finalizado
161,9714,2021,2025-03-23,Finalizado
162,8762,1203,2025-02-25,Activo
163,552,2833,2025-02-23,Finalizado
164,6784,7297,2025-04-07,Cancelado
165,6729,9131,2025-01-17,Finalizado
166,8728,5950,2025-01-01,Cancelado
167,6798,8416,2025-01-06,Cancelado
168,5134,3055,2025-01-01,Finalizado
169,5760,226,2025-03-13,Activo
170,8566,3474,2025-02-03,Activo
171,7836,7388,2025-03-19,Activo
172,4382,3276,2025-04-05,Cancelado
173,203,4661,2025-01-28,Finalizado
174,3413,4081,2025-03-05,Cancelado
175,1928,3638,2025-01-22,Activo
176,8266,3863,2025-03-03,Finalizado
177,5087,9477,2025-04-01,Finalizado
178,8449,3705,2025-02-12,Activo
179,27,2650,2025-04-03,Cancelado
180,8754,6567,2025-04-11,Finalizado
181,4139,1458,2025-03-19,Finalizado
182,8961,1424,2025-01-25,Cancelado
183,9892,654,2025-03-26,Finalizado
184,8288,631,2025-02-14,Finalizado
185,7345,5239,2025-03-06,Cancelado
186,2915,2634,2025-03-23,Cancelado
187,3335,9111,2025-01-03,Activo
188,9556,3911,2025-02-14,Cancelado
189,2389,1751,2025-02-02,Activo
190,9796,8568,2025-04-17,Cancelado
191,5926,8735,2025-01-28,Finalizado
192,4243,1729,2025-03-18,Activo
193,6559,5018,2025-02-11,Activo
194,3392,6217,2025-02-13,Cancelado
195,3018,3515,2025-01-29,Cancelado
196,5033,5202,2025-03-25,Cancelado
197,9713,5827,2025-04-05,Activo
198,228,8415,2025-02-21,Finalizado
199,9986,1810,2025-03-15,Cancelado
200,3812,4987,2025-02-07,Cancelado
201,6245,2679,2025-02-09,Finalizado
202,6109,4160,2025-04-19,Activo
203,3763,7242,2025-01-12,Finalizado
204,126,6714,2025-04-02,Activo
205,8463,9039,2024-12-28,Finalizado
206,60,8827,2025-04-09,Finalizado
207,7782,591,2025-03-30,Activo
208,9801,2852,2025-04-17,Cancelado
209,4967,4515,2025-04-20,Cancelado
210,1140,8805,2025-03-03,Activo
211,2504,5732,2025-01-05,Activo
212,2266,2420,2025-03-26,Activo
213,5803,5446,2025-02-22,Finalizado
214,805,1032,2025-01-06,Finalizado
215,7550,7965,2025-02-19,Finalizado
216,1674,6393,2025-04-09,Cancelado
217,6053,3187,2025-02-28,Activo
218,8966,118,2025-01-19,Cancelado
219,6507,4890,2025-01-05,Cancelado
220,7362,208,2025-03-14,Activo
221,6284,6720,2025-03-30,Finalizado
222,6878,5462,2025-02-09,Activo
223,5463,3294,2025-01-19,Finalizado
224,2330,7397,2025-04-11,Finalizado
225,6082,6591,2025-03-19,Cancelado
226,1760,6241,2025-04-23,Cancelado
227,5148,5108,2025-03-11,Finalizado
228,4408,7456,2025-02-22,Finalizado
229,7418,7957,2025-04-19,Cancelado
230,5993,5252,2025-03-08,Activo
231,251,4900,2025-04-09,Cancelado
232,6207,6106,2025-01-20,Finalizado
233,7802,4036,2025-01-13,Finalizado
234,920,1117,2025-01-02,Activo
235,1751,186,2025-04-16,Finalizado
236,3190,7194,2025-01-24,Finalizado
237,7857,5114,2025-02-15,Finalizado
238,9919,7793,2025-04-04,Finalizado
239,947,2419,2025-03-02,Activo
240,3114,5316,2025-03-02,Activo
241,9937,6518,2025-04-02,Activo
242,1976,5803,2025-04-10,Activo
243,3994,5158,2025-02-06,Finalizado
244,2127,2580,2025-02-14,Activo
245,3521,9580,2025-03-29,Finalizado
246,2612,9296,2025-02-07,Activo
247,8713,3025,2024-12-26,Activo
248,8703,3065,2025-02-06,Finalizado
249,3099,1447,2025-02-04,Cancelado
250,3811,8846,2025-03-31,Finalizado
251,2583,8234,2024-12-28,Cancelado
252,8758,3900,2025-02-07,Finalizado
253,3291,1988,2025-03-03,Cancelado
254,3689,5327,2025-01-14,Cancelado
255,7609,1611,2025-02-11,Finalizado
256,8419,9513,2025-04-23,Finalizado
257,5341,3236,2025-01-28,Finalizado
258,9394,2228,2025-01-03,Cancelado
259,3727,7790,2025-03-05,Cancelado
260,6589,5215,2025-02-23,Activo
261,2681,2320,2025-01-27,Finalizado
262,4346,4160,2025-02-25,Activo
263,7677,3770,2025-01-26,Activo
264,7343,3146,2025-03-17,Activo
265,4638,2152,2025-02-07,Cancelado
266,9300,6900,2025-03-26,Activo
267,4517,5211,2025-01-01,Finalizado
268,8675,4358,2025-04-12,Cancelado
269,6141,2773,2025-04-14,Finalizado
270,3753,8799,2025-01-16,Finalizado
271,723,3522,2025-01-13,Cancelado
272,3038,9128,2025-03-15,Cancelado
273,5078,5531,2025-03-11,Cancelado
274,4617,9359,2025-01-03,Finalizado
275,3757,8748,2025-04-18,Activo
276,772,16,2025-03-08,Finalizado
277,995,7858,2025-01-02,Finalizado
278,9523,6095,2025-03-13,Cancelado
279,648,1625,2025-01-20,Cancelado
280,9780,5392,2025-01-06,Cancelado
281,342,1692,2025-03-14,Finalizado
282,7668,5145,2025-01-25,Finalizado
283,522,4154,2025-03-31,Cancelado
284,5808,7191,2025-02-14,Activo
285,4631,4873,2024-12-28,Activo
286,7503,6610,2025-04-17,Cancelado
287,1522,9061,2025-01-16,Finalizado
288,3143,899,2025-02-26,Cancelado
289,666,2266,2025-04-06,Cancelado
290,9214,9602,2025-03-09,Finalizado
291,872,6575,2025-01-23,Activo
292,7882,9868,2025-04-13,Cancelado
293,6876,4458,2025-03-17,Activo
294,3975,2372,2025-01-01,Finalizado
295,2506,4786,2025-02-12,Cancelado
296,8546,6986,2025-03-22,Activo
297,5907,826,2025-04-06,Activo
298,351,2877,2025-04-04,Cancelado
299,720,8673,2025-03-04,Activo
300,3088,8599,2025-02-02,Cancelado
301,7817,3410,2025-03-19,Cancelado
302,9601,2742,2025-03-01,Finalizado
303,1940,1033,2025-03-02,Finalizado
304,9860,5464,2025-04-10,Finalizado
305,709,9640,2025-03-20,Activo
306,7971,4798,2025-02-20,Cancelado
307,7189,4606,2025-03-13,Activo
308,7496,3713,2025-04-19,Finalizado
309,9935,47,2025-01-16,Finalizado
310,2645,5831,2025-04-21,Finalizado
311,3266,8549,2025-02-09,Finalizado
312,7799,164,2024-12-27,Finalizado
313,5453,4942,2025-03-18,Cancelado
314,4915,2877,2025-04-12,Cancelado
315,3111,4719,2025-04-23,Cancelado
316,4791,6979,2025-03-25,Finalizado
317,1450,9836,2024-12-27,Activo
318,4832,5754,2025-04-05,Cancelado
319,8227,2377,2025-04-23,Activo
320,3509,8632,2025-01-29,Activo
321,8846,8778,2025-03-31,Activo
322,5208,9116,2025-03-26,Cancelado
323,6867,529,2025-01-24,Activo
324,4384,3011,2025-01-04,Activo
325,7656,927,2025-01-31,Cancelado
326,4421,987,2025-04-19,Finalizado
327,6200,9067,2025-04-17,Cancelado
328,641,9764,2025-01-01,Finalizado
329,9147,8033,2025-01-28,Finalizado
330,2140,9136,2025-04-10,Finalizado
331,4455,433,2025-01-03,Activo
332,3751,7285,2025-02-20,Activo
333,5430,5122,2025-01-17,Finalizado
334,9335,2250,2025-03-22,Activo
335,8398,1608,2025-02-13,Activo
336,5412,3962,2025-01-13,Finalizado
337,1099,2443,2025-03-14,Finalizado
338,528,1072,2025-02-12,Finalizado
339,1470,9451,2025-02-09,Activo
340,5791,3015,2025-03-02,Finalizado
341,9916,9782,2025-01-30,Activo
342,1735,6071,2025-02-28,Cancelado
343,572,3743,2025-03-06,Activo
344,6919,886,2025-03-27,Activo
345,5544,4023,2025-01-04,Cancelado
346,3662,1714,2025-01-20,Activo
347,8450,4916,2025-04-02,Activo
348,5452,524,2025-04-10,Finalizado
349,8851,152,2025-03-26,Cancelado
350,276,3560,2025-03-22,Cancelado
351,3575,534,2025-01-14,Activo
352,1323,1158,2025-03-04,Finalizado
353,4686,7387,2025-03-08,Activo
354,9916,9004,2025-04-16,Activo
355,3565,8127,2025-01-20,Activo
356,158,2503,2025-02-11,Finalizado
357,7246,3411,2025-01-21,Activo
358,5629,9782,2025-04-10,Activo
359,3441,686,2025-01-14,Cancelado
360,3074,6511,2025-02-18,Finalizado
361,6590,5958,2025-02-24,Cancelado
362,6953,609,2025-01-07,Activo
363,6715,7413,2025-02-21,Activo
364,9987,9916,2025-03-03,Activo
365,8529,718,2025-04-18,Finalizado
366,9606,4658,2025-04-07,Activo
367,5409,4558,2025-01-15,Finalizado
368,3460,5323,2025-03-06,Finalizado
369,946,9665,2025-04-01,Finalizado
370,5912,7889,2025-04-10,Activo
371,405,9269,2025-02-19,Finalizado
372,4831,2549,2025-03-10,Cancelado
373,6747,4006,2025-01-18,Finalizado
374,4858,2252,2025-02-05,Finalizado
375,1592,4533,2024-12-28,Activo
376,9750,2216,2025-04-15,Cancelado
377,6257,6881,2025-04-14,Finalizado
378,7821,8238,2025-04-15,Cancelado
379,7092,3909,2025-01-25,Cancelado
380,2224,938,2025-03-09,Cancelado
381,504,8574,2025-02-13,Cancelado
382,1823,1143,2025-02-08,Cancelado
383,585,2369,2025-02-04,Finalizado
384,6101,3288,2025-02-05,Activo
385,390,2870,2025-03-02,Activo
386,8937,7416,2025-02-09,Finalizado
387,4908,5790,2025-03-29,Cancelado
388,9873,6279,2025-03-22,Cancelado
389,5008,7130,2025-01-04,Activo
390,9071,174,2025-02-03,Finalizado
391,9462,4258,2025-01-23,Activo
392,4836,4623,2025-03-16,Finalizado
393,8759,1756,2025-04-16,Activo
394,9808,951,2025-02-16,Cancelado
395,5457,1352,2025-02-03,Finalizado
396,8754,3851,2025-01-09,Cancelado
397,9040,7701,2025-04-01,Finalizado
398,1045,4086,2025-01-03,Finalizado
399,1986,5122,2025-01-30,Finalizado
400,7852,962,2025-03-17,Cancelado
401,1774,5780,2025-01-02,Finalizado
402,4314,9735,2025-03-21,Activo
403,2475,6714,2025-04-07,Finalizado
404,1737,8965,2025-04-23,Cancelado
405,4801,6464,2025-01-21,Cancelado
406,7601,6782,2025-04-19,Finalizado
407,7390,9680,2025-01-22,Cancelado
408,5087,6037,2025-03-17,Cancelado
409,128,7123,2025-01-07,Cancelado
410,9960,9954,2025-02-27,Cancelado
411,24,6616,2025-01-05,Cancelado
412,8411,4633,2024-12-30,Activo
413,3210,7734,2025-01-16,Activo
414,3232,2105,2024-12-26,Finalizado
415,2773,215,2025-03-16,Finalizado
416,7492,4187,2025-01-26,Finalizado
417,6495,9169,2025-03-16,Finalizado
418,3203,6767,2025-02-05,Activo
419,9919,5302,2025-02-06,Cancelado
420,7172,7422,2025-03-05,Activo
421,6734,8233,2025-03-17,Cancelado
422,6745,994,2025-03-22,Activo
423,4694,3675,2025-03-27,Cancelado
424,3712,4699,2025-02-05,Cancelado
425,397,4372,2025-02-12,Activo
426,1366,2329,2025-01-14,Finalizado
427,7250,9136,2025-03-31,Cancelado
428,9939,3184,2025-02-13,Cancelado
429,995,1990,2025-04-06,Finalizado
430,6752,7264,2025-02-11,Cancelado
431,344,6116,2025-03-07,Finalizado
432,9410,159,2025-02-09,Cancelado
433,8074,7492,2025-02-09,Activo
434,8900,7243,2025-03-06,Finalizado
435,922,3660,2025-04-15,Activo
436,5427,3746,2025-01-31,Finalizado
437,7208,4586,2025-01-21,Activo
438,869,4853,2025-04-12,Cancelado
439,5835,4307,2025-01-02,Finalizado
440,2968,1143,2025-01-11,Finalizado
441,8298,3286,2025-03-05,Cancelado
442,7545,3076,2025-04-01,Finalizado
443,9218,8414,2025-04-10,Finalizado
444,4187,8722,2025-03-17,Activo
445,3517,6297,2025-04-24,Activo
446,4032,5613,2025-01-20,Finalizado
447,7380,3370,2025-01-05,Finalizado
448,9542,2403,2025-01-12,Activo
449,74,937,2025-03-30,Finalizado
450,7444,3349,2025-01-14,Cancelado
451,3109,4622,2025-02-21,Activo
452,7697,8572,2025-04-07,Finalizado
453,3953,5758,2025-03-07,Activo
454,5745,9019,2025-01-20,Cancelado
455,9405,5657,2025-02-19,Activo
456,8607,1303,2025-03-17,Finalizado
457,8943,4082,2025-02-28,Cancelado
458,440,5640,2025-02-10,Activo
459,2968,8028,2025-01-08,Finalizado
460,4795,2522,2025-04-23,Cancelado
461,9648,4321,2025-01-16,Cancelado
462,6100,9881,2024-12-27,Activo
463,5738,6745,2025-03-19,Finalizado
464,7544,4769,2024-12-30,Finalizado
465,5223,1014,2025-04-10,Finalizado
466,4724,8136,2025-02-28,Finalizado
467,6495,6918,2025-02-27,Cancelado
468,3159,904,2025-03-03,Activo
469,6666,3717,2025-02-27,Activo
470,7378,8532,2024-12-28,Finalizado
471,7862,6748,2025-02-13,Activo
472,4346,8128,2025-04-20,Cancelado
473,4680,7863,2025-02-27,Finalizado
474,3795,925,2025-01-15,Cancelado
475,6925,5397,2025-01-23,Activo
476,6808,1204,2025-01-06,Activo
477,4703,921,2025-02-10,Cancelado
478,8754,6558,2025-03-21,Finalizado
479,833,1318,2025-02-03,Cancelado
480,2483,7913,2025-01-29,Cancelado
481,5164,6641,2025-04-05,Finalizado
482,8054,2266,2025-04-09,Cancelado
483,1795,3800,2025-04-03,Finalizado
484,6775,816,2025-03-15,Finalizado
485,4247,8015,2025-03-18,Finalizado
486,9490,7707,2025-03-14,Cancelado
487,5610,9782,2025-03-07,Cancelado
488,1327,4040,2025-02-11,Activo
489,3424,9247,2025-01-09,Cancelado
490,7603,7996,2025-01-20,Cancelado
491,6334,3167,2025-03-20,Finalizado
492,3786,1578,2025-03-07,Activo
493,8140,1661,2025-02-18,Finalizado
494,9699,7245,2025-01-09,Activo
495,4836,4778,2025-03-09,Finalizado
496,413,5353,2025-03-26,Finalizado
497,8207,7809,2024-12-27,Cancelado
498,7549,7382,2025-01-23,Activo
499,8440,7949,2025-01-23,Finalizado
500,4725,4876,2025-04-13,Activo
501,4441,9469,2025-01-22,Cancelado
502,8640,652,2025-01-26,Activo
503,5142,5910,2025-04-03,Cancelado
504,9903,3933,2025-03-14,Cancelado
505,1347,13,2025-03-28,Cancelado
506,6434,8718,2025-02-24,Activo
507,8595,4146,2024-12-26,Finalizado
508,6710,6686,2025-01-02,Cancelado
509,7362,1107,2025-02-16,Finalizado
510,3756,185,2025-01-25,Finalizado
511,3899,5531,2025-01-24,Cancelado
512,1066,7980,2025-04-13,Activo
513,6685,3434,2025-02-27,Activo
514,4201,5466,2025-02-15,Cancelado
515,1788,8228,2025-02-26,Activo
516,5520,6276,2025-04-05,Finalizado
517,6181,1199,2025-02-25,Finalizado
518,3247,5138,2025-04-12,Activo
519,9745,9988,2025-02-18,Activo
520,2977,5247,2025-01-13,Cancelado
521,2044,7807,2025-03-05,Activo
522,2178,1760,2025-03-09,Finalizado
523,4550,8055,2025-02-02,Activo
524,5806,8666,2025-01-03,Activo
525,4907,3300,2025-03-17,Cancelado
526,8171,8831,2025-03-24,Cancelado
527,2768,6290,2025-02-26,Activo
528,2629,7011,2025-03-09,Cancelado
529,6840,9674,2025-03-01,Cancelado
530,2496,8829,2025-01-23,Cancelado
531,553,5627,2025-02-07,Cancelado
532,8312,3059,2025-02-16,Cancelado
533,8306,1181,2025-02-25,Activo
534,6781,3760,2025-01-27,Finalizado
535,5925,6099,2025-03-22,Finalizado
536,3544,5068,2025-02-11,Finalizado
537,894,5869,2025-03-11,Finalizado
538,8053,2041,2025-03-12,Finalizado
539,2680,1853,2025-03-10,Activo
540,5801,2998,2025-01-20,Finalizado
541,7485,6183,2025-01-25,Finalizado
542,5634,1187,2025-03-04,Finalizado
543,3801,9680,2025-04-12,Finalizado
544,5646,5724,2025-01-16,Activo
545,1981,9292,2025-03-03,Cancelado
546,431,4381,2025-02-19,Finalizado
547,8629,992,2025-02-04,Activo
548,3122,2792,2025-03-28,Cancelado
549,9996,6032,2024-12-27,Activo
550,4190,5240,2025-04-02,Cancelado
551,8784,458,2025-01-03,Cancelado
552,7,2269,2025-04-14,Finalizado
553,6425,493,2025-03-16,Cancelado
554,664,6062,2025-04-18,Cancelado
555,3894,3142,2025-03-14,Finalizado
556,2480,2081,2025-02-14,Finalizado
557,751,7959,2025-04-12,Cancelado
558,8225,5565,2025-02-09,Finalizado
559,6834,732,2025-01-23,Cancelado
560,8139,8227,2025-04-03,Finalizado
561,6062,37,2025-04-13,Cancelado
562,5924,511,2025-01-20,Activo
563,2453,3067,2025-01-26,Cancelado
564,3622,843,2025-02-12,Finalizado
565,4420,1710,2025-03-11,Activo
566,5938,442,2025-03-14,Cancelado
567,4145,6164,2025-01-31,Finalizado
568,2629,6155,2025-03-12,Finalizado
569,3644,3516,2024-12-29,Finalizado
570,5859,6211,2025-02-15,Cancelado
571,6395,9924,2025-04-19,Cancelado
572,1771,6042,2025-01-17,Activo
573,9188,940,2025-02-25,Activo
574,2891,9088,2025-02-11,Cancelado
575,7929,2278,2025-02-03,Cancelado
576,1789,2959,2025-04-05,Activo
577,713,6507,2025-02-14,Finalizado
578,7073,53,2025-04-16,Finalizado
579,7303,3224,2025-04-20,Finalizado
580,1946,77,2025-03-01,Activo
581,1027,1194,2025-02-04,Activo
582,3276,1350,2025-04-16,Finalizado
583,5283,8393,2025-02-04,Cancelado
584,4932,8718,2025-01-02,Activo
585,7460,3273,2025-02-12,Activo
586,1240,9719,2025-02-03,Cancelado
587,6317,1351,2025-03-11,Finalizado
588,5239,8581,2025-03-04,Activo
589,8737,2193,2025-02-20,Activo
590,3262,5132,2025-04-04,Finalizado
591,5020,7957,2025-01-27,Activo
592,2186,9862,2025-01-06,Cancelado
593,3430,3491,2025-02-22,Activo
594,4295,6699,2025-03-04,Activo
595,6383,3117,2025-04-12,Activo
596,3960,3456,2025-02-19,Finalizado
597,9496,8865,2025-01-13,Activo
598,6197,344,2025-03-27,Finalizado
599,2656,6369,2025-04-18,Cancelado
600,8382,9575,2025-02-24,Cancelado
601,6985,1421,2025-02-19,Activo
602,3812,1855,2025-04-13,Cancelado
603,5979,424,2025-02-13,Cancelado
604,2753,517,2025-02-23,Cancelado
605,8311,2913,2025-02-28,Cancelado
606,5338,5125,2024-12-30,Cancelado
607,9699,412,2025-03-27,Activo
608,9076,8051,2025-01-04,Finalizado
609,8571,1762,2025-03-16,Cancelado
610,5394,8338,2025-03-14,Finalizado
611,9641,8931,2025-03-16,Cancelado
612,6300,8643,2025-03-01,Activo
613,7303,4756,2025-01-22,Activo
614,8758,8507,2024-12-30,Finalizado
615,6499,3686,2025-02-28,Activo
616,7113,7773,2025-03-15,Cancelado
617,8074,8082,2025-04-06,Finalizado
618,633,5944,2024-12-31,Finalizado
619,4580,7739,2025-01-12,Finalizado
620,1733,6893,2025-04-11,Activo
621,4532,8097,2025-04-15,Activo
622,9089,5503,2025-02-11,Activo
623,3173,1825,2025-01-30,Cancelado
624,3181,8183,2025-02-09,Cancelado
625,529,5610,2025-04-17,Cancelado
626,8479,9647,2025-04-17,Cancelado
627,8067,9551,2024-12-27,Activo
628,5688,5014,2025-01-17,Cancelado
629,7003,6170,2025-01-18,Cancelado
630,3857,6155,2025-01-06,Finalizado
631,1039,4885,2025-03-10,Activo
632,1583,3050,2025-02-18,Activo
633,8491,4104,2025-04-10,Cancelado
634,2004,1254,2025-01-03,Finalizado
635,7288,5389,2025-01-04,Activo
636,5387,4259,2024-12-31,Cancelado
637,7556,6259,2025-01-24,Cancelado
638,2107,8908,2025-03-07,Cancelado
639,4921,8102,2025-01-19,Finalizado
640,8590,7785,2025-04-12,Cancelado
641,8820,9784,2025-03-19,Cancelado
642,8365,9597,2025-04-22,Activo
643,5130,3622,2025-02-13,Cancelado
644,4684,1147,2025-03-29,Cancelado
645,4905,3945,2025-03-23,Finalizado
646,4506,6302,2025-04-02,Finalizado
647,6651,5878,2025-03-18,Cancelado
648,824,4463,2025-03-12,Cancelado
649,3945,4977,2025-01-17,Cancelado
650,3936,3768,2025-04-13,Finalizado
651,9511,9674,2025-02-24,Finalizado
652,8373,6679,2025-01-16,Cancelado
653,2984,8452,2025-04-11,Finalizado
654,2162,3233,2025-04-06,Cancelado
655,1863,7429,2025-03-09,Finalizado
656,2807,5985,2025-01-01,Cancelado
657,2302,9597,2025-04-15,Activo
658,7765,6218,2025-03-17,Finalizado
659,8321,7706,2025-02-09,Cancelado
660,7682,3239,2025-01-25,Finalizado
661,8831,1947,2025-02-22,Cancelado
662,4851,292,2025-01-15,Finalizado
663,8207,3961,2025-02-01,Activo
664,8721,9613,2025-03-25,Finalizado
665,7177,6687,2025-02-18,Finalizado
666,8441,9096,2025-01-05,Activo
667,647,7111,2025-04-08,Cancelado
668,2751,2981,2025-01-12,Finalizado
669,8006,9779,2025-04-14,Activo
670,2616,7757,2025-04-20,Activo
671,7302,1662,2025-03-10,Activo
672,3002,833,2025-02-27,Activo
673,4137,6728,2025-03-11,Activo
674,13,7700,2025-03-08,Activo
675,3249,314,2025-04-07,Cancelado
676,8605,7976,2025-03-27,Cancelado
677,6080,1354,2025-03-16,Activo
678,7749,9803,2025-03-12,Activo
679,9442,2963,2025-03-17,Finalizado
680,9477,5796,2025-02-26,Cancelado
681,4450,4347,2025-01-05,Activo
682,2922,2210,2025-03-15,Cancelado
683,181,1923,2025-04-08,Activo
684,342,977,2024-12-26,Finalizado
685,391,2437,2025-02-20,Cancelado
686,4624,6180,2025-04-02,Cancelado
687,2465,6859,2025-03-20,Activo
688,4218,4280,2025-03-31,Finalizado
689,2278,7263,2025-02-24,Activo
690,8794,5350,2025-03-26,Finalizado
691,4363,9783,2025-02-21,Activo
692,506,6900,2025-01-04,Activo
