habilidades,experiencia_lab,calificacion,nivel,profesion,ID,disponibilidad
"Diseño gráfico, Mecánica automotriz, Diseño UX/UI, Photoshop, Ventas",18,4.7,Senior,Otro,61,Tiempo completo
"Terapia Física, Redacción, Python, Administración",17,3.0,Medio,Otro,62,Medio tiempo
"JavaScript, Python, Electricidad, Redacción",14,3.3,Junior,Otro,63,Tiempo completo
"Python, CSS, HTML, Ciencia de datos",11,3.3,Junior,Otro,64,Tiempo completo
"Tramitología, Diseño UX/UI, Soporte técnico, Terapia Física, SEO",12,2.0,Medio,Otro,65,Tiempo completo
"Ventas, Contabilidad, Servicio al cliente, Electricidad",12,1.6,Medio,Otro,66,Tiempo completo
"Diseño UX/UI, Terapia Física, Carpintería, CSS",11,2.3,Junior,Otro,67,Tiempo completo
"Atención al cliente, Ciencia de datos, Redacción",18,2.9,Junior,Otro,68,Tiempo completo
"Servicio al cliente, Programación en Java, Contabilidad",14,2.4,Senior,Otro,69,Tiempo completo
"Tramitología, Electricidad, Inglés avanzado",6,1.7,Medio,Licenciado,70,Tiempo completo
"Redacción, Mecánica automotriz, Atención al cliente",2,1.8,Medio,Otro,71,Medio tiempo
"Traducción, HTML, Marketing digital",3,3.6,Medio,Otro,72,Tiempo completo
"Redacción, Carpintería, Electricidad",7,3.2,Senior,Otro,73,Medio tiempo
"Redacción, Carpintería, Photoshop, Programación en Java",20,4.3,Senior,Otro,74,Medio tiempo
"Carpintería, Tramitología, JavaScript",19,3.7,Junior,Licenciado,75,Tiempo completo
"Illustrator, Contabilidad, Diseño UX/UI, Diseño gráfico, Ciencia de datos",14,1.8,Medio,Otro,76,Tiempo completo
"Servicio al cliente, Ciencia de datos, Administración, Marketing digital, Instalaciones eléctricas",15,1.2,Senior,Otro,77,Tiempo completo
"Mecánica automotriz, Terapia Física, CSS",7,3.6,Senior,Otro,78,Medio tiempo
"Ventas, Atención al cliente, Electricidad, Marketing digital",11,2.9,Medio,Otro,79,Medio tiempo
"Ventas, Python, Inglés avanzado, Terapia Física, CSS",2,3.9,Medio,Otro,80,Tiempo completo
"Electricidad, Inglés avanzado, Administración, JavaScript",6,2.7,Medio,Otro,81,Medio tiempo
"Administración, Carpintería, Illustrator, Photoshop, SEO",8,3.0,Senior,Otro,82,Medio tiempo
"Electricidad, SEO, Traducción",15,2.8,Medio,Otro,83,Medio tiempo
"Contabilidad, Soporte técnico, Diseño gráfico, JavaScript",20,2.1,Junior,Otro,84,Tiempo completo
"Ciencia de datos, Administración, Redacción, Soporte técnico",19,3.7,Senior,Otro,85,Medio tiempo
"Illustrator, HTML, JavaScript, Ciencia de datos, Python",1,4.0,Junior,Otro,86,Tiempo completo
"Programación en Java, CSS, Photoshop",13,4.9,Junior,Otro,87,Medio tiempo
"Redacción, Ciencia de datos, Carpintería, Terapia Física",15,4.2,Senior,Otro,88,Medio tiempo
"Diseño UX/UI, Atención al cliente, Redacción, Ventas, Illustrator",10,1.5,Medio,Otro,89,Medio tiempo
"Programación en Java, Traducción, Soporte técnico, Terapia Física, Carpintería",12,1.2,Junior,Otro,90,Tiempo completo
"Mecánica automotriz, Programación en Java, Traducción",11,3.2,Medio,Otro,91,Tiempo completo
"Ventas, Diseño gráfico, Mecánica automotriz",11,4.6,Junior,Otro,92,Medio tiempo
"Redacción, Terapia Física, Carpintería, Inglés avanzado",2,4.4,Medio,Otro,93,Medio tiempo
"Marketing digital, HTML, Terapia Física, Electricidad, CSS",5,2.9,Junior,Otro,94,Tiempo completo
"HTML, Diseño gráfico, Contabilidad",1,2.8,Senior,Otro,95,Medio tiempo
"Diseño UX/UI, Carpintería, Atención al cliente, Programación en Java",8,4.7,Senior,Otro,96,Medio tiempo
"Electricidad, Terapia Física, Ventas, Traducción",6,2.5,Junior,Otro,97,Medio tiempo
"Inglés avanzado, Marketing digital, Servicio al cliente, Instalaciones eléctricas, Redacción",9,3.1,Senior,Otro,98,Medio tiempo
"Contabilidad, Photoshop, SEO, Instalaciones eléctricas, Tramitología",14,1.9,Junior,Otro,99,Medio tiempo
"Carpintería, Soporte técnico, Contabilidad",1,3.2,Senior,Otro,100,Medio tiempo
"Carpintería, Redacción, Instalaciones eléctricas, Python",17,2.3,Junior,Otro,101,Tiempo completo
"HTML, Ventas, Illustrator, Mecánica automotriz",7,4.9,Junior,Licenciado,102,Medio tiempo
"HTML, Mecánica automotriz, Diseño gráfico, Ventas",12,4.4,Senior,Licenciado,103,Tiempo completo
"Inglés avanzado, Administración, Diseño gráfico",9,1.8,Junior,Otro,104,Medio tiempo
"JavaScript, Servicio al cliente, Redacción, CSS",7,4.2,Junior,Otro,105,Tiempo completo
"HTML, Programación en Java, Carpintería, Servicio al cliente",10,3.2,Senior,Otro,106,Medio tiempo
"Python, Inglés avanzado, JavaScript, Redacción, Programación en Java",20,3.7,Senior,Otro,107,Tiempo completo
"Terapia Física, JavaScript, Ciencia de datos, Atención al cliente",6,2.6,Junior,Otro,108,Medio tiempo
"CSS, Marketing digital, Illustrator, Administración",8,4.4,Senior,Otro,109,Medio tiempo
"Programación en Java, CSS, Ciencia de datos, Diseño UX/UI",1,1.4,Junior,Otro,110,Medio tiempo
"Photoshop, Diseño UX/UI, CSS",17,1.5,Junior,Otro,111,Medio tiempo
"Administración, Inglés avanzado, Electricidad",7,3.2,Junior,Otro,112,Medio tiempo
"Tramitología, Marketing digital, Atención al cliente, Servicio al cliente",17,3.5,Medio,Otro,113,Tiempo completo
"Ventas, Contabilidad, Diseño gráfico, Electricidad, Tramitología",15,2.6,Junior,Otro,114,Medio tiempo
"Traducción, Diseño UX/UI, Contabilidad, Instalaciones eléctricas",6,2.7,Medio,Otro,115,Medio tiempo
"Python, Ciencia de datos, Atención al cliente, Carpintería, Traducción",6,2.6,Medio,Otro,116,Tiempo completo
"Administración, Carpintería, Diseño UX/UI",13,2.9,Senior,Otro,117,Medio tiempo
"Carpintería, Atención al cliente, Marketing digital",5,2.1,Senior,Otro,118,Tiempo completo
"Instalaciones eléctricas, Diseño gráfico, Mecánica automotriz",16,1.9,Junior,Otro,119,Medio tiempo
"Python, Programación en Java, Mecánica automotriz, Photoshop, Contabilidad",10,3.0,Medio,Licenciado,120,Medio tiempo
"Inglés avanzado, Atención al cliente, Ventas, Python, Photoshop",20,1.8,Medio,Otro,121,Tiempo completo
"Marketing digital, Traducción, Instalaciones eléctricas, Contabilidad",2,2.8,Senior,Otro,122,Tiempo completo
"Inglés avanzado, Soporte técnico, Electricidad, Diseño UX/UI, Terapia Física",7,4.5,Junior,Ingeniero,123,Medio tiempo
"Instalaciones eléctricas, Electricidad, Soporte técnico, Redacción",13,2.3,Medio,Otro,124,Tiempo completo
"Contabilidad, Soporte técnico, SEO, JavaScript",13,1.3,Senior,Otro,125,Medio tiempo
"Marketing digital, Servicio al cliente, CSS, Soporte técnico",7,4.5,Medio,Otro,126,Tiempo completo
"Ventas, Photoshop, Terapia Física",17,3.2,Junior,Otro,127,Medio tiempo
"Traducción, HTML, SEO, Atención al cliente",4,4.8,Medio,Otro,128,Tiempo completo
"Traducción, HTML, Illustrator, Electricidad, Contabilidad",11,4.2,Senior,Otro,129,Medio tiempo
"Redacción, Soporte técnico, Administración",2,1.9,Junior,Otro,130,Tiempo completo
"Photoshop, Instalaciones eléctricas, Atención al cliente, Diseño gráfico",13,3.1,Junior,Otro,131,Medio tiempo
"Illustrator, Terapia Física, Instalaciones eléctricas",20,2.9,Senior,Otro,132,Tiempo completo
"Illustrator, Mecánica automotriz, Atención al cliente",7,3.1,Medio,Otro,133,Medio tiempo
"Contabilidad, HTML, Python, Redacción, Mecánica automotriz",13,1.5,Junior,Otro,134,Medio tiempo
"Ciencia de datos, Redacción, Tramitología, Mecánica automotriz",8,3.2,Medio,Otro,135,Tiempo completo
"Tramitología, Illustrator, Inglés avanzado, Ciencia de datos",7,4.4,Medio,Otro,136,Tiempo completo
"Diseño gráfico, Soporte técnico, CSS",5,1.1,Senior,Otro,137,Tiempo completo
"Soporte técnico, Diseño gráfico, Inglés avanzado, Contabilidad, JavaScript",4,1.8,Junior,Otro,138,Tiempo completo
"Soporte técnico, Tramitología, Mecánica automotriz",9,1.4,Medio,Otro,139,Medio tiempo
"Administración, Inglés avanzado, Instalaciones eléctricas",11,2.3,Medio,Otro,140,Medio tiempo
"Ciencia de datos, Diseño gráfico, Redacción, Photoshop, SEO",8,2.9,Senior,Otro,141,Tiempo completo
"Illustrator, SEO, Diseño UX/UI, JavaScript",1,3.5,Medio,Otro,142,Tiempo completo
"Ciencia de datos, Administración, Tramitología, CSS",16,4.9,Junior,Otro,143,Medio tiempo
"Terapia Física, Photoshop, HTML, CSS",18,3.9,Senior,Otro,144,Medio tiempo
"Ventas, Contabilidad, Traducción",14,1.5,Senior,Otro,145,Tiempo completo
"HTML, Contabilidad, Servicio al cliente, Illustrator, Instalaciones eléctricas",2,4.2,Senior,Otro,146,Medio tiempo
"Traducción, Ciencia de datos, JavaScript, Contabilidad",13,4.6,Junior,Otro,147,Medio tiempo
"Tramitología, Soporte técnico, Ciencia de datos, Redacción",18,3.7,Senior,Otro,148,Medio tiempo
"Administración, Ventas, Diseño gráfico, Soporte técnico, Instalaciones eléctricas",9,1.6,Senior,Otro,149,Medio tiempo
"Ciencia de datos, Marketing digital, Programación en Java, Diseño gráfico",17,4.3,Junior,Otro,150,Medio tiempo
"Ventas, Administración, Python, HTML, Soporte técnico",19,2.5,Medio,Otro,151,Medio tiempo
"Python, Ventas, Photoshop, CSS",16,2.3,Medio,Otro,152,Medio tiempo
"Ciencia de datos, Contabilidad, Redacción, Administración",19,2.1,Senior,Otro,153,Tiempo completo
"Inglés avanzado, Terapia Física, Ciencia de datos, Marketing digital, Servicio al cliente",11,1.5,Senior,Otro,154,Tiempo completo
"Python, Ciencia de datos, HTML",4,2.4,Senior,Otro,155,Tiempo completo
"Contabilidad, Illustrator, Photoshop, SEO",3,3.0,Junior,Otro,156,Tiempo completo
"Inglés avanzado, HTML, Contabilidad, Atención al cliente, Marketing digital",12,4.3,Senior,Ingeniero,157,Tiempo completo
"Mecánica automotriz, Contabilidad, Administración, Diseño gráfico, Marketing digital",6,3.6,Senior,Otro,158,Medio tiempo
"Tramitología, Photoshop, Illustrator, Programación en Java, Instalaciones eléctricas",17,2.1,Senior,Ingeniero,159,Tiempo completo
"Inglés avanzado, Redacción, Python, Diseño gráfico, Electricidad",12,4.5,Junior,Otro,160,Medio tiempo
"Carpintería, Ciencia de datos, Terapia Física, Administración",12,3.6,Junior,Otro,161,Medio tiempo
"Atención al cliente, Traducción, Redacción",15,2.3,Senior,Otro,162,Medio tiempo
"Servicio al cliente, Programación en Java, Mecánica automotriz",8,1.8,Junior,Otro,163,Medio tiempo
"Carpintería, Tramitología, Servicio al cliente, Soporte técnico",3,4.3,Senior,Otro,164,Tiempo completo
"Photoshop, Redacción, Ventas, Administración, Contabilidad",6,3.3,Medio,Otro,165,Medio tiempo
"Ciencia de datos, Servicio al cliente, Ventas",12,4.1,Senior,Otro,166,Medio tiempo
"Inglés avanzado, Illustrator, Tramitología",9,1.8,Medio,Otro,167,Medio tiempo
"Diseño UX/UI, Illustrator, Administración, Servicio al cliente, Ciencia de datos",19,3.5,Senior,Otro,168,Medio tiempo
"HTML, Servicio al cliente, Inglés avanzado, Photoshop, Electricidad",17,3.0,Medio,Otro,169,Medio tiempo
"Servicio al cliente, Contabilidad, CSS, Traducción, Marketing digital",16,4.4,Senior,Otro,170,Tiempo completo
"Electricidad, Photoshop, Servicio al cliente",5,3.6,Junior,Otro,171,Tiempo completo
"Mecánica automotriz, Ventas, Instalaciones eléctricas",1,3.4,Medio,Otro,172,Medio tiempo
"Diseño UX/UI, Electricidad, Programación en Java, Illustrator, Ventas",4,2.8,Senior,Otro,173,Tiempo completo
"Soporte técnico, Diseño UX/UI, Traducción, Atención al cliente",16,2.2,Senior,Otro,174,Tiempo completo
"Illustrator, Marketing digital, Python, Atención al cliente, Photoshop",11,4.4,Medio,Otro,175,Tiempo completo
"Ciencia de datos, CSS, Contabilidad, Photoshop",18,1.3,Junior,Otro,176,Tiempo completo
"Redacción, SEO, Atención al cliente",17,3.3,Medio,Ingeniero,177,Tiempo completo
"Ventas, Ciencia de datos, Traducción, Diseño UX/UI, Atención al cliente",8,1.8,Medio,Otro,178,Medio tiempo
"Diseño gráfico, Terapia Física, Traducción, Tramitología, Programación en Java",4,3.2,Medio,Otro,179,Tiempo completo
"Marketing digital, Terapia Física, Carpintería",9,4.4,Junior,Otro,180,Tiempo completo
"Python, Tramitología, JavaScript",15,2.1,Senior,Otro,181,Tiempo completo
"Diseño UX/UI, Electricidad, Marketing digital",8,2.7,Senior,Otro,182,Tiempo completo
"Electricidad, Mecánica automotriz, SEO, Tramitología, Redacción",10,2.3,Senior,Otro,183,Medio tiempo
"Illustrator, JavaScript, Carpintería, Contabilidad",4,3.6,Medio,Otro,184,Medio tiempo
"Redacción, Electricidad, SEO, Contabilidad",12,4.7,Senior,Otro,185,Tiempo completo
"Instalaciones eléctricas, Atención al cliente, Photoshop",14,1.3,Medio,Otro,186,Tiempo completo
"Contabilidad, Atención al cliente, Terapia Física, Illustrator, Servicio al cliente",10,3.3,Medio,Otro,187,Tiempo completo
"Servicio al cliente, CSS, Python, Traducción",1,4.4,Junior,Otro,188,Tiempo completo
"Terapia Física, Diseño UX/UI, Marketing digital, Photoshop",9,2.7,Senior,Otro,189,Tiempo completo
"Administración, Marketing digital, Diseño UX/UI, Carpintería",7,1.0,Senior,Otro,190,Medio tiempo
"Administración, JavaScript, Instalaciones eléctricas, Programación en Java",16,4.1,Junior,Ingeniero,191,Tiempo completo
"Ventas, Marketing digital, Traducción, Electricidad",16,4.0,Junior,Otro,192,Medio tiempo
"Diseño gráfico, Redacción, Diseño UX/UI",5,4.8,Senior,Otro,193,Medio tiempo
"Mecánica automotriz, JavaScript, Atención al cliente, Marketing digital, CSS",5,2.0,Junior,Otro,194,Tiempo completo
"Atención al cliente, Ventas, SEO",9,1.0,Senior,Otro,195,Medio tiempo
"Administración, Mecánica automotriz, Ciencia de datos, Illustrator",1,2.2,Senior,Otro,196,Tiempo completo
"JavaScript, HTML, Soporte técnico, Inglés avanzado, Electricidad",9,1.6,Senior,Otro,197,Medio tiempo
"Illustrator, Administración, Marketing digital, Diseño gráfico, Diseño UX/UI",16,4.6,Senior,Ingeniero,198,Medio tiempo
"CSS, Soporte técnico, Photoshop",2,1.9,Medio,Otro,199,Medio tiempo
"HTML, Photoshop, Instalaciones eléctricas",17,1.4,Senior,Otro,200,Medio tiempo
"Electricidad, Diseño gráfico, HTML, Diseño UX/UI",15,2.5,Medio,Otro,201,Tiempo completo
"Atención al cliente, Instalaciones eléctricas, Inglés avanzado, Tramitología, Programación en Java",13,1.3,Medio,Otro,202,Medio tiempo
"Ventas, CSS, Python, Administración",14,3.7,Junior,Otro,203,Tiempo completo
"Atención al cliente, Contabilidad, Mecánica automotriz, SEO, Administración",6,2.3,Medio,Otro,204,Medio tiempo
"Diseño UX/UI, Atención al cliente, Python",7,2.7,Junior,Otro,205,Tiempo completo
"Programación en Java, Soporte técnico, Inglés avanzado, Administración",7,3.0,Junior,Otro,206,Medio tiempo
"Instalaciones eléctricas, Tramitología, HTML, Diseño gráfico, Ciencia de datos",1,5.0,Medio,Otro,207,Medio tiempo
"Diseño UX/UI, Traducción, Mecánica automotriz, HTML, Soporte técnico",4,4.8,Medio,Licenciado,208,Medio tiempo
"Terapia Física, CSS, Administración, Redacción, Traducción",8,4.0,Medio,Otro,209,Tiempo completo
"Ventas, Soporte técnico, Illustrator, Python",9,1.5,Senior,Otro,210,Tiempo completo
"CSS, Ventas, SEO, Instalaciones eléctricas",2,2.6,Medio,Otro,211,Tiempo completo
"Python, Ventas, Tramitología, Ciencia de datos",8,1.9,Junior,Licenciado,212,Medio tiempo
"Ciencia de datos, Photoshop, Administración, CSS, Marketing digital",6,4.4,Medio,Otro,213,Medio tiempo
"Programación en Java, Marketing digital, Ventas",9,2.2,Senior,Otro,214,Tiempo completo
"Traducción, Servicio al cliente, Redacción, Terapia Física",4,1.5,Medio,Otro,215,Medio tiempo
"Soporte técnico, Photoshop, Mecánica automotriz, Diseño gráfico, Redacción",1,4.1,Senior,Otro,216,Tiempo completo
"Inglés avanzado, Illustrator, Terapia Física, Photoshop",5,2.4,Junior,Otro,217,Tiempo completo
"CSS, Redacción, Diseño UX/UI, Ventas",8,1.3,Senior,Otro,218,Tiempo completo
"JavaScript, Illustrator, Terapia Física",15,4.4,Junior,Otro,219,Tiempo completo
"Mecánica automotriz, Illustrator, Carpintería",12,1.5,Junior,Otro,220,Tiempo completo
"Servicio al cliente, Redacción, SEO, Instalaciones eléctricas, Programación en Java",18,3.2,Medio,Otro,221,Medio tiempo
"Redacción, CSS, HTML",4,2.3,Junior,Otro,222,Medio tiempo
"Mecánica automotriz, Servicio al cliente, Programación en Java",19,1.4,Senior,Otro,223,Tiempo completo
"Marketing digital, Atención al cliente, Diseño gráfico",3,3.2,Senior,Otro,224,Tiempo completo
"Soporte técnico, Contabilidad, Marketing digital",8,2.5,Senior,Otro,225,Tiempo completo
"Inglés avanzado, Atención al cliente, Instalaciones eléctricas",6,4.0,Junior,Otro,226,Tiempo completo
"Diseño gráfico, Tramitología, Servicio al cliente, Terapia Física, Photoshop",2,3.2,Junior,Otro,227,Medio tiempo
"Electricidad, Python, JavaScript, HTML",17,4.8,Senior,Otro,228,Medio tiempo
"JavaScript, Electricidad, Ventas, Diseño gráfico, HTML",15,2.1,Junior,Otro,229,Tiempo completo
"Ventas, Terapia Física, Diseño UX/UI, Photoshop, Traducción",16,1.6,Senior,Otro,230,Medio tiempo
"HTML, Programación en Java, Marketing digital",9,2.9,Senior,Otro,231,Tiempo completo
"Tramitología, Diseño UX/UI, Administración, Python, Traducción",10,3.6,Senior,Otro,232,Tiempo completo
"Instalaciones eléctricas, Ciencia de datos, Soporte técnico, Terapia Física, Ventas",10,2.6,Junior,Otro,233,Tiempo completo
"Mecánica automotriz, Photoshop, Terapia Física, Marketing digital, Soporte técnico",14,2.2,Medio,Otro,234,Tiempo completo
"Carpintería, Diseño UX/UI, Redacción, SEO, Electricidad",19,3.4,Medio,Otro,235,Tiempo completo
"Ventas, Contabilidad, Programación en Java",16,3.1,Medio,Otro,236,Medio tiempo
"Atención al cliente, Ventas, Ciencia de datos",9,4.7,Junior,Otro,237,Medio tiempo
"Diseño gráfico, Mecánica automotriz, Administración, Ciencia de datos, SEO",5,1.6,Junior,Otro,238,Tiempo completo
"Illustrator, Terapia Física, Marketing digital",3,2.2,Senior,Otro,239,Tiempo completo
"Inglés avanzado, Ciencia de datos, Marketing digital, Ventas, CSS",15,1.8,Medio,Otro,240,Medio tiempo
"Inglés avanzado, Ventas, Traducción, Soporte técnico, Illustrator",7,3.1,Medio,Otro,241,Tiempo completo
"Tramitología, SEO, Diseño UX/UI",15,4.0,Junior,Ingeniero,242,Medio tiempo
"Soporte técnico, Redacción, Diseño gráfico",15,3.5,Medio,Otro,243,Tiempo completo
"Marketing digital, CSS, Redacción, Diseño UX/UI, Illustrator",17,1.2,Medio,Otro,244,Medio tiempo
"Contabilidad, Ventas, Carpintería, Instalaciones eléctricas",20,4.9,Junior,Otro,245,Tiempo completo
"Inglés avanzado, Ciencia de datos, Photoshop, Redacción, Administración",10,3.1,Medio,Otro,246,Tiempo completo
"JavaScript, Redacción, Inglés avanzado, CSS",2,3.5,Medio,Otro,247,Medio tiempo
"Ventas, Soporte técnico, Inglés avanzado",5,4.5,Senior,Otro,248,Tiempo completo
"Servicio al cliente, Diseño gráfico, Carpintería, Contabilidad, Redacción",17,3.0,Senior,Otro,249,Medio tiempo
"HTML, Programación en Java, Administración, Carpintería",3,4.0,Junior,Licenciado,250,Tiempo completo
"Diseño UX/UI, Redacción, CSS, Soporte técnico",17,3.0,Medio,Otro,251,Medio tiempo
"Traducción, Photoshop, JavaScript, Ventas",2,1.7,Junior,Otro,252,Medio tiempo
"SEO, Diseño UX/UI, Photoshop, Inglés avanzado",18,4.6,Medio,Otro,253,Medio tiempo
"JavaScript, Traducción, Ciencia de datos, Marketing digital, Mecánica automotriz",6,3.3,Senior,Otro,254,Medio tiempo
"Illustrator, Atención al cliente, Traducción, Photoshop",10,4.7,Senior,Otro,255,Medio tiempo
"Electricidad, Python, Inglés avanzado",16,2.0,Medio,Otro,256,Tiempo completo
"Instalaciones eléctricas, Tramitología, Redacción, Ventas",20,1.1,Junior,Otro,257,Tiempo completo
"Photoshop, Soporte técnico, Ventas",19,3.4,Medio,Otro,258,Medio tiempo
"Inglés avanzado, Ventas, Illustrator, Terapia Física",7,3.4,Junior,Otro,259,Tiempo completo
"CSS, Photoshop, JavaScript, Ciencia de datos",13,3.8,Senior,Otro,260,Medio tiempo
"Ciencia de datos, Diseño UX/UI, Electricidad, Tramitología, Inglés avanzado",12,2.2,Senior,Otro,261,Tiempo completo
"Ciencia de datos, Inglés avanzado, Illustrator",4,2.1,Senior,Otro,262,Medio tiempo
"Marketing digital, CSS, Mecánica automotriz",4,1.3,Medio,Otro,263,Tiempo completo
"Soporte técnico, Servicio al cliente, Atención al cliente",17,1.4,Medio,Otro,264,Tiempo completo
